상점 이름,위도,경도,지번주소,도로명주소
광동수산조개구이,37.59143012,127.0368715,,서울특별시 성북구 회기로 3
신은정 광주소머리국밥,37.59141179,127.0378679,,성북구 종암동 28-10
구십스,37.58935425,127.0368388,,서울특별시 동대문구 고산자로 560
그옛날에 즉석짜장,37.59069454,127.0380396,,서울특별시 동대문구 고산자로60길 49
다원스시,,,,
더테이블,37.59099732,127.037913,,서울특별시 동대문구 회기로 14 어진재
돌냄비열우동,37.59147677,127.0375328,,서울특별시 성북구 회기로3길 2
바다아구찜,,,,
빈이네등갈비,37.59149094,127.0382801,,서울특별시 성북구 회기로 15-2
알래스카에서 온 연어가 맛있는 집,37.58876326,127.0366256,,서울특별시 동대문구 고산자로 553
에스키모,37.59141567,127.0369938,,서울특별시 성북구 회기로 5
연어사랑,37.58847128,127.0368293,,서울특별시 동대문구 고산자로 549-1
오늘은 면발 땡기는날,37.58818294,127.0368835,,서울특별시 동대문구 제기로7길 37
오소리순대,37.59056148,127.0371609,,서울특별시 동대문구 회기로4길 16
왕십리막창구이,37.59102965,127.038221,,서울특별시 동대문구 회기로 16-1 제기동근린생활시설및다세대주택
조개bene,37.58833792,127.0368655,,서울특별시 동대문구 고산자로 549
종암골 생고기,37.59102965,127.038221,,서울특별시 동대문구 회기로 16-1 제기동근린생활시설및다세대주택
준이네분식,,,,
파마고,37.58958133,127.0367438,,서울특별시 동대문구 고산자로 562
황궁,37.5921762,127.0367043,,서울특별시 성북구 종암로 18 거산프라자
굿띵,37.59147677,127.0375328,,서울특별시 성북구 회기로3길 2
다올래 치킨호프,,,,
한신포차,,,,
Take Away,37.59144099,127.0366994,,서울특별시 성북구 종암로 12
THE BETTER,37.59147684,127.0373109,,서울특별시 성북구 회기로3길 1
작은콩,,,,
고대분식(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 이공과대학과학도서관지하 1층
끼니와새참,37.58875009,127.0323729,,서울특별시 성북구 안암동5가 1-2
롯데리아(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 하나스퀘어
마더스밥,,,,
맘스터치,37.58870342,127.0316981,,서울특별시 성북구 안암로 145 타이거프라자 1층
버거킹,37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교안암캠퍼스(인문사회계)
비비고,37.58875009,127.0323729,,서울특별시 성북구 안암동5가 1-2 고려대학교 CJ 법학관 1층
CNN카페,37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교
MOST(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 이공과대학과학도서관지하 1층
PALAZZO(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 하나스퀘어
TIAMO(중광),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대중앙광장 지하 1층
TIAMO(현차관),,,,
고대북카페,,,,
고대빵(국제관),,,,
고대빵(이과_애기능생활관),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 애기능생활관 B1
고대빵(이과_하나스퀘어),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 하나스퀘어
디초콜릿,37.58877818,127.0349771,,서울특별시 성북구 안암동5가 1-21
마로네(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 하나과학관 지하 1층
미디어관 카페,,,,
샌드프레소(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 하나스퀘어
오픈엘리,37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 파이빌 99 A동1층
카페 드림,37.58870342,127.0316981,,"서울특별시 성북구 안암로 145, 고려대학교 라이시움관 1층"
카페베네,37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교안암캠퍼스 중앙광장 지하1층 101호
투썸플레이스(CJ법학관),37.59137011,127.0326141,,서울특별시 성북구 종암동 산2-138
투썸플레이스(타이거플라자),37.58871326,127.0351401,,서울특별시 성북구 안암동5가 1 타이거프라자 2층
학관카페,,,,
또랑(이과),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 안암캠퍼스(자연계) 애기능학관
갈마당,,,,
거성치킨,37.59367242,127.0347937,,서울특별시 성북구 북악산로29길 30
고대식당,,,,
다래성,37.59267377,127.0359889,,서울특별시 성북구 종암로 25
두레식당,,,,
마마돈가스,37.59254359,127.0373793,,서울특별시 성북구 월곡로2길 14
마산 아구찜 꽃게찜,,,,
맥도날드,37.59553169,127.0360628,,서울특별시 성북구 종암로 58
무아국수집,37.59324698,127.0353959,,서울특별시 성북구 종암로3길 13
밀크밥버거,37.59409053,127.0346399,,서울특별시 성북구 북악산로29길 40
보리밥 바지락칼국수,,,,
부어치킨,37.59408703,127.0342821,,서울특별시 성북구 종암로5길 29
서울식당,37.59222325,127.0360702,,서울특별시 성북구 종암로 21
수스엘주야식,37.59375503,127.0357494,,서울특별시 성북구 종암로 39 2층
숭례식당,,,,
식구,,,,
신생,37.59601104,127.0359769,,서울특별시 성북구 종암로14길 6-26
아미가,37.59278944,127.0348431,,서울특별시 성북구 종암동 24-15
아침바다,37.59324698,127.0353959,,서울특별시 성북구 종암로3길 13 중앙빌딩
알콩김밥 달콩라면,37.59553552,127.03532,,서울특별시 성북구 종암로9길 3 아주빌딩
양자설렁탕,37.59267377,127.0359889,,서울특별시 성북구 종암로 25
엄마네,,,,
오박사네 돈까스,37.59253345,127.0352053,,서울특별시 성북구 북악산로 1055 종암빌딩
옥당골,37.592371,127.0361065,,서울특별시 성북구 종암로 23
우리 사철탕 삼계탕,37.59419477,127.0355594,,서울특별시 성북구 종암로5길 9-13
우이동 멸치국수,,,,
유정,,,,
자스민,37.59357483,127.0357584,,서울특별시 성북구 종암로 37
참새방앗간,,,,
청보리꼴,37.59240351,127.0358484,,서울특별시 성북구 북악산로 1062
청송횟집,,,,
청진동 해장국,,,,
큰대문집,37.5962957,127.0361447,,서울특별시 성북구 종암로14길 6-21
피자스쿨(종암점),37.59553552,127.03532,,서울특별시 성북구 종암로9길 3 아주빌딩
한솥도시락(종암동),37.59408703,127.0342821,,서울특별시 성북구 종암로5길 29
해피데이,,,,
호랭이밥그릇,37.59259827,127.035382,,서울특별시 성북구 북악산로 1057 우전빌딩
홍대개미,37.59553552,127.03532,,서울특별시 성북구 종암로9길 3 1층
또또치킨호프,37.59370116,127.0351108,,서울특별시 성북구 종암동 23-24
두루두루,37.59339483,127.0350789,,서울특별시 성북구 종암로3길 18 낙원빌딩
DOOL,37.59428151,127.0347306,,서울특별시 성북구 북악산로31길 39
ISM,,,,
N'D MORE,,,,
드럼락커피,37.59550315,127.0351025,,서울특별시 성북구 종암로9길 5
뚜레쥬르,37.59440383,127.0354598,,서울특별시 성북구 종암로5길 7
종암동 카페,37.59437864,127.0353239,,서울특별시 성북구 종암로5길 9-3
카페 아띠,,,,
59쌀피자(안암오거리점),37.58256981,127.0303686,,서울특별시 동대문구 약령시로 4
911 온반,37.5833018,127.0288292,,서울특별시 성북구 안암로 73-9
Joe's Grill,37.58255222,127.0286704,,서울시 성북구 안암동5가 134-43
Mr.WANG,37.58289828,127.0283445,,서울특별시 성북구 안암로9가길 87
고대맛집ㅋㅋ,37.5828117,127.0286886,,서울특별시 성북구 안암로9가길 80-17
고려성,,,,
국민수육국밥,,,,
국수가,,,,
다돈 참숯화로구이,37.5823576,127.028693,,서울특별시 성북구 안암동5가 134-41
동암 닭한마리 칼국수,,,,
마루,37.58370899,127.0290965,,서울특별시 성북구 인촌로24길 58-5
마시께 매운 떡볶이,,,,
미스사이공,37.5828117,127.0286886,,서울특별시 성북구 안암로9가길 80-17
미스터피자,,,,
박가네뼈다귀해장국,37.58206897,127.0299427,,서울특별시 동대문구 무학로 200 휴먼플러스
보신자리,37.58224214,127.0292092,,서울특별시 동대문구 안암로 70
본도시락,37.58228554,127.0286024,,서울특별시 성북구 안암로 63
부부손칼국수,,,,
비야(이공후문점),,,,
삼성통닭(이공후문점),37.58345306,127.0292821,서울특별시 성북구 안암동5가 104-41호,
